,Id,Review,Components,Delivery and Customer Support,Design and Aesthetics,Dimensions,Features,Functionality,Installation,Material,Price,Quality,Usability,Polarity,Words_in_Numbers
30,30,Good quality for the money,0,0,0,0,0,0,0,0,1,1,0,1,"[3265, 5930, 3024, 7801, 4768]"
31,31,"I now have 4 of these cameras between my home and my parents, and they are awesome. Much more reliable than Arlo and the Google Nest app works perfectly.",0,0,0,0,0,1,0,0,0,1,0,1,"[3706, 5015, 3488, 5083, 7828, 1047, 686, 4851, 3611, 278, 4851, 278, 7831, 376, 4833, 4788, 6175, 7786, 385, 278, 7801, 3268, 4930, 330, 8790]"
32,32,"Works well for a couple weeks/ months or so, starts to leak, then when you try to tighten the nozzle to stop the leak the weak strip of plastic holding the most crucial part easily tears off. This happened twice to meâ€¦ we be finding a different one for sure.",0,0,0,0,0,0,0,0,0,1,0,0,"[8790, 8628, 3024, 3, 1688, 4782, 5167, 7332, 7944, 7816, 8655, 8870, 8110, 7944, 7902, 7801, 5022, 7944, 7396, 7801, 4232, 7801, 8588, 7452, 5083, 5553, 3603, 7801, 4801, 1786, 5312, 2403, 7716, 7856, 3456, 8145, 7944, 4649, 8587, 605, 2857, 3, 2126, 5122, 3024]"
33,33,The perfect size for the job. I used these to hang new trim around my doors.These brad nails are strong and sturdy and my trim isn't going anywhere. They work wonderfully in my Ryobi brad nailer. I would highly recommend them.,0,0,0,1,0,1,0,0,0,1,0,1,"[7801, 5414, 6938, 3024, 7801, 3706, 8334, 7828, 7944, 3448, 4943, 8083, 393, 4851, 859, 4867, 376, 7459, 278, 7489, 278, 4851, 8083, 3256, 7831, 8776, 8760, 3773, 4851, 6507, 859, 3706, 8813, 3567, 6078]"
34,34,Was easy to work with.,0,0,0,0,0,0,0,0,0,0,1,1,"[8541, 2407, 7944, 8776]"
35,35,You have to hold the handle down for full flush. Should be a better design for the price!,0,0,1,0,0,0,0,0,0,0,0,0,"[8870, 3488, 7944, 3600, 7801, 3440, 2288, 3024, 3113, 6853, 605, 3, 684, 2043, 3024, 7801]"
36,36,It's good product a bit expensive but they work,0,0,0,0,0,1,0,0,1,0,0,0,"[3265, 5790, 3, 722, 2674, 994, 7831, 8776]"
37,37,Smaller size pex tends to be difficult to cut straight,0,0,0,0,0,0,0,0,0,0,1,0,"[7018, 6938, 5454, 7758, 7944, 605, 2128, 7944, 1836, 7412]"
38,38,Very good quality of material and easy to install. Very pleased with this product.,0,0,0,0,0,0,1,1,0,0,0,1,"[8432, 3265, 5930, 5083, 4565, 278, 2407, 7944, 8432, 5571, 8739, 7856]"
39,39,Works great with my Worx nail gun!!,0,0,0,0,0,1,0,0,0,0,0,1,"[8790, 3315, 8739, 4851, 8811, 4859]"
40,40,Great product. Wish I had it long ago. It made the job easy. Well worth the money. I would highly recommend this product,0,0,0,0,0,0,0,0,1,1,0,1,"[3315, 8736, 3706, 3409, 3996, 4386, 3996, 4465, 7801, 4049, 8628, 8807, 7801, 3706, 8813, 3567, 6078, 7856, 5790]"
41,41,"Easily cut water pipeline, clean cut. Used to install replacement outdoor water faucet.",0,0,0,0,0,1,0,0,0,0,0,1,"[2403, 1836, 8566, 1310, 8334, 7944, 3878, 6244, 5208, 8566]"
42,42,Great roofing nails. Worked fine in my harbor freight gun.,0,0,0,0,0,1,0,0,0,0,0,1,"[3315, 6444, 8780, 2860, 3773, 4851, 3463, 3081]"
43,43,They are too think and the top keeps falling down all day long.  Maybe I just didn't get the right size but I ordered the same last year and they were much better quality,0,0,0,1,0,0,0,0,0,1,0,0,"[7831, 376, 7976, 7846, 278, 7801, 7983, 4090, 2748, 2288, 213, 1885, 4579, 3706, 4081, 3207, 7801, 6397, 6938, 994, 3706, 5174, 7801, 6531, 4193, 8857, 278, 7831, 8639, 4833, 684, 5930]"
44,44,"I love this product for a number of reasons.  Mid range pricing. The kit comes with everything you need to install a new toilet.  If you are kind of picky (like some of the installers I know who are A+ contractors) then pick up a good quality O ring kit and you are set.  I have bought this on 8 or 9 different occasions.  It has never been out of stock when I needed one.  The toilet seat does not crash to toilet (hands free quiet close) when you lower it.  So far, the toilet seat has stayed in place and not developed that annoying slip and slide toilet seat we are all so fond of  Not.  The flush is very powerful despite being a lo flow toilet.",0,0,0,0,1,1,0,0,1,0,0,1,"[3706, 4422, 7856, 5790, 3024, 3, 5031, 5083, 4658, 5992, 7801, 4119, 1427, 8739, 2600, 8870, 4906, 7944, 3878, 3, 4943, 3723, 8870, 376, 4113, 5083, 5484, 7105, 5083, 7801, 3884, 3706, 4141, 8673, 376, 7816, 5475, 8290, 3, 3265, 5930, 5042, 6401, 4119, 278, 8870, 376, 3706, 3488, 827, 7856, 5118, 5167, 2126, 3996, 3478, 4942, 639, 5204, 5083, 7387, 8655, 3706, 4908, 7801, 7957, 6646, 2250, 4994, 1737, 7944, 7957, 3072, 5945, 8655, 8870, 4431, 7062, 7801, 7957, 6646, 3478, 7345, 3773, 5530, 278, 4994, 2090, 7796, 294, 6994, 278, 6983, 7957, 6646, 8587, 376, 213, 7062, 3012, 5083, 7801, 2988, 3981, 8432, 5694, 2057, 657, 3, 4355, 2971]"
45,45,Broken box and nails were bent and scattered,0,1,0,0,0,0,0,0,0,0,0,0,"[908, 844, 278, 4867, 8639, 675, 278, 6578]"
46,46,Horrible. Holes does not match most lights or fans mounting brackets. Total useless. I threw it away.,0,0,1,0,0,0,0,0,0,0,0,0,"[3606, 2250, 4994, 4560, 4801, 4298, 5167, 2759, 4814, 7998, 3706, 7872, 3996]"
47,47,Excellent sprinkler with lots of coverage and adjustments to assure everything possible is watered.,0,0,0,0,1,1,0,0,0,0,0,1,"[2623, 7250, 8739, 4415, 5083, 1703, 278, 121, 7944, 441, 2600, 5669, 3981]"
48,48,Horrible product. Don't waste your money. After attaching it to water hose the water only sprays approx.. 6-inches off the ground. I dont have water pressure issues. This complely a product issue.See more,0,0,0,0,0,1,0,0,1,0,0,0,"[3644, 8556, 8874, 159, 457, 3996, 7944, 8566, 3650, 7801, 8566, 5130, 7238, 5085, 7801, 3706, 2266, 3488, 8566, 5737, 7856, 1477, 3, 5790, 4788]"
49,49,The camera works well and it's great for the price,0,0,0,0,0,1,0,0,1,0,0,1,"[7801, 1046, 8790, 8628, 278, 3315, 3024, 7801, 5752]"
50,50,The soft spray reaches a wide area and the sprinkler is light and easy to move from one place to another. Best garden purchase I've made in years.,0,0,0,0,0,1,0,0,0,0,1,1,"[7801, 7078, 7231, 6015, 3, 8685, 377, 278, 7801, 7250, 3981, 4292, 278, 2407, 7944, 4818, 3097, 5122, 5530, 7944, 682, 3164, 5892, 4465, 3773]"
51,51,"Overall the cushion is well made, color was exactly what I wanted, but the bottom cushion was supposed to be 5 inches thick. As you can see from the attached photo it's not even 4 inches. Because it is not thick enough, it's not comfortable. I wanted for a soft that I nap on, and it's just not thick enough.Description should have read 4 inches. It's almost 4 not quite.",0,0,1,1,0,0,0,0,0,1,1,0,"[5228, 7801, 1820, 3981, 8628, 1411, 8541, 2611, 8646, 3706, 994, 7801, 821, 1820, 8541, 7587, 7944, 605, 3782, 409, 8870, 1059, 6665, 3097, 7801, 454, 5466, 4994, 2588, 626, 3996, 3981, 4994, 7835, 4994, 3706, 8523, 3024, 3, 7078, 7796, 3706, 4874, 278, 4081, 4994, 7835, 6853, 3488, 6020, 229, 4994]"
52,52,Sits higher and is comfortable. Stylish.,0,0,1,1,0,0,0,0,0,0,1,1,"[6930, 3564, 278, 3981]"
53,53,"I love this sprinkler, I like being able to adjust the angle of the water jets.",0,0,0,0,1,0,0,0,0,0,0,1,"[3706, 4422, 7856, 3706, 4303, 657, 6, 7944, 112, 7801, 284, 5083, 7801, 8566]"
54,54,Beautiful and sturdy!,0,0,1,0,0,0,0,0,0,1,0,1,"[622, 278]"
55,55,Love the gun and nails.Incredible improvement over air BUTNails terribly boxed by shipper.Always comes blown up because the Dewalt box is allowed to float around in a larger shipping box.This has been constant with every shipment for a year. Should do better. Always wastes some nails cause strips are broken,0,1,0,0,0,0,0,0,0,0,0,0,"[4422, 7801, 3388, 278, 3767, 5227, 180, 998, 7769, 845, 1013, 1427, 767, 8290, 626, 7801, 2099, 844, 3981, 223, 7944, 2956, 393, 3773, 3, 4191, 6827, 3478, 639, 1567, 8739, 2596, 6824, 3024, 3, 6853, 2245, 245, 8559, 7105, 4867, 1138, 7458, 376, 908]"
56,56,"This 3 piece set includes a spray wand, and two pistol grip hose spray nozzles. The wand and one of the nozzles feature 5 different patterns of spray. The additional nozzle has an adjustable collar which varies the spray from a jet to a wide shower spray. The wand has an on-to-off control in the handle, and the other two feature a flow control and trigger lock on the top of the handle. They are all constructed with a metal core, and a rubberized soft grip outer shell. The pattern selectors change with a loud satisfying click. I maintain a large pond, and go through alot of the Dollar Store versions of these. Expert Gardener's are the real deal, and I could tell the quality as soon as I used them. The wand is a new toy for me, and looks like it will be handy for hanging flower pots and rinsing off the pond filter.I've only had them a few weeks, but they are used heavily, and I'm very satisfied with the entire set.See more",0,0,0,0,0,0,0,0,0,0,1,1,"[7856, 5491, 6744, 3788, 3, 7231, 278, 8151, 5518, 3334, 3650, 7231, 7801, 8519, 278, 5122, 5083, 7801, 5023, 2789, 2126, 5353, 5083, 7801, 94, 5022, 3478, 271, 114, 1399, 8663, 8391, 7801, 7231, 3097, 3, 4039, 7944, 3, 8685, 6861, 7801, 8519, 3478, 271, 1609, 3773, 7801, 278, 7801, 5197, 8151, 2789, 3, 2971, 1609, 278, 8079, 4370, 5118, 7801, 7983, 5083, 7801, 7831, 376, 213, 1571, 8739, 3, 4640, 278, 3, 6482, 7078, 3334, 5210, 7801, 5352, 6693, 1192, 8739, 3, 4417, 6549, 3706, 4485, 3, 4190, 278, 3249, 7879, 233, 5083, 7801, 2259, 7402, 8427, 5083, 2680, 376, 7801, 6026, 278, 3706, 1677, 7739, 7801, 5930, 409, 7118, 409, 3706, 8334, 7801, 8519, 3981, 3, 4943, 8020, 3024, 278, 4395, 4303, 3996, 8703, 605, 3446, 3024, 3451, 2973, 5681, 278, 6407, 5085, 7801, 5632, 5130, 3409, 7809, 3, 2819, 994, 7831, 376, 8334, 278, 8432, 6547, 8739, 7801, 2538, 4788]"
57,57,"work well, very few jams.",0,0,0,0,0,1,0,0,0,0,0,1,"[8776, 8432, 2819]"
58,58,The C Clamp may be set with one hand and that is great when working alone. Easy to place and close.,0,0,0,0,0,0,0,0,0,0,1,1,"[7801, 1016, 1289, 4578, 605, 6744, 8739, 5122, 3429, 278, 7796, 3981, 3315, 8655, 8783, 2407, 7944, 5530, 278]"
59,59,Great little nailer for the money.   It replaces a Porter-Cable that worked okay and was stolen.   This one is much smoother and better built overall.  Definately recommend.,0,0,1,0,0,0,0,0,1,1,0,1,"[3315, 4349, 4862, 3024, 7801, 3996, 6246, 3, 7796, 8780, 5107, 278, 8541, 7856, 5122, 3981, 4833, 7032, 278, 684, 950, 1952]"
60,60,I used this to mount a ceiling fan and it worked great. No issues. Basic instructions were included in the box consisting of a small piece of paper folded up...,0,0,0,0,0,1,0,0,0,0,0,1,"[3706, 8334, 7856, 7944, 4811, 3, 1152, 2757, 278, 3996, 8780, 4972, 583, 3900, 8639, 3787, 3773, 7801, 844, 1566, 5083, 3, 7017, 5491, 5083, 5299, 3004]"
61,61,"Quality nails, but I wish they would sell them in a 500 count box also. I'm not building a house every time I need some nails.",0,0,0,0,0,0,0,0,0,1,0,1,"[5930, 994, 3706, 8736, 7831, 8813, 6695, 7809, 3773, 3, 1680, 844, 4994, 947, 3, 3659, 2596, 7918, 3706, 4906, 7105]"
62,62,"Bougt this to bore a slip tunnel under my driveway to run a drip line.  The slab was 13 ft wide and I made all the way.  However I did break the tip off the small nozzel, but not surprised.  I hit a couple of rocks but it made it all the way through.",0,0,0,0,0,0,0,0,0,1,0,1,"[831, 7856, 7944, 804, 3, 6994, 8126, 8197, 4851, 2341, 7944, 6496, 3, 2331, 7801, 6962, 8541, 3108, 8685, 278, 3706, 4465, 213, 7801, 3671, 3706, 2115, 877, 7801, 7932, 5085, 7801, 7017, 994, 4994, 3706, 3582, 3, 1688, 5083, 6431, 994, 3996, 4465, 3996, 213, 7801, 8583]"
63,63,Very good quality and very comfortable!,0,0,0,0,0,0,0,0,0,1,1,1,"[8432, 3265, 5930, 278, 8432]"
64,64,The instructions were very easy to use. And the price was very very cheap for good product.,0,0,0,0,0,0,1,0,1,0,0,1,"[7801, 3900, 8639, 8432, 2407, 7944, 278, 7801, 5752, 8541, 8432, 8432, 1214, 3024, 3265]"
65,65,"Works well.  I was using this to work on my son's pinewood derby car.  It is a perfect fit for smaller items you are working on.  It is small, is not clunky, and does not get in the way.",0,0,0,1,0,1,0,0,0,0,0,1,"[8790, 3706, 8541, 8351, 7856, 7944, 8776, 5118, 4851, 5505, 2030, 3996, 3981, 3, 5414, 2894, 3024, 7018, 4000, 8870, 376, 8783, 3996, 3981, 3981, 4994, 278, 2250, 4994, 3207, 3773, 7801]"
66,66,"I like the Blink XT2s except I assumed I could keep them inside the house and point them out the window. I was wrong. Doesn't matter the sensitivity, they won't work through glass like my D-Link 933Ls do. So I simply don't use them through glass. Other than that, I love'em. Easy to program and set up.",0,0,0,0,0,1,1,0,0,0,1,1,"[3706, 4303, 7801, 756, 2626, 3706, 438, 3706, 1677, 4087, 7809, 3868, 7801, 3659, 278, 5609, 7809, 5204, 7801, 3706, 8541, 4571, 7801, 7831, 8776, 7879, 3236, 4303, 4851, 7062, 3706, 6915, 8330, 7809, 7879, 5197, 7786, 3706, 2407, 7944, 5802, 278, 6744]"
67,67,Very well made! Great price too.  Installed quickly- included slow close lid.,0,0,0,0,0,0,1,0,1,1,0,1,"[8432, 8628, 3315, 5752, 3882, 3787, 7010, 1353]"
68,68,Tool worked perfect. Did not try the clamps that came with it.,0,0,0,0,0,1,0,0,0,0,0,1,"[7978, 8780, 2115, 4994, 8110, 7801, 1293, 7796, 1045, 8739]"
69,69,This sprinkler works well but the range of the spray cannot but adju. There's lot of rearranging of this Devi to ensure that the water is not going into the street or the neighbor's yard.,0,0,0,0,0,1,0,0,0,0,0,1,"[7856, 7250, 8790, 8628, 994, 7801, 5992, 5083, 7801, 7231, 1074, 994, 4414, 5083, 6036, 5083, 7856, 2094, 7944, 2526, 7796, 7801, 8566, 3981, 4994, 3256, 3946, 7801, 7438, 5167, 7801]"
70,70,Lightweight plastic. Broke within one week. Quite ridiculous.,0,0,0,0,0,0,0,1,0,1,0,0,"[4299, 907, 8740, 5122, 5955]"
71,71,"Beautiful, thick cushions! Ties to anchor to chairs sturdy",0,0,1,1,0,0,0,0,0,1,0,1,"[7835, 7899, 7944, 274, 7944, 1179, 7489]"
72,72,Large crack emerged at the back of the base. Toilet is still functional but going to have to do it all over again - parts and labor both paid for in vain.,1,0,0,0,0,0,0,0,0,0,0,0,"[4190, 1717, 2481, 448, 7801, 520, 5083, 7801, 7957, 3981, 7380, 3119, 994, 3256, 7944, 3488, 7944, 2245, 3996, 213, 5227, 163, 5322, 278, 4164, 814, 5271, 3024, 3773]"
73,73,"Love, Love... Genius... I live in an apt. with swing windows, mosquito and flies have always been a problem. I brought spray gorilla glue placed the Velcro added the screen perfect...love love love... Highly recommend.",0,0,0,0,0,0,0,0,0,1,0,1,"[3706, 4350, 3773, 271, 8739, 7628, 4797, 278, 2947, 3488, 245, 639, 3, 3706, 913, 7231, 3273, 3244, 5531, 7801, 8407, 90, 7801, 6606, 4422, 3567]"
74,74,The screen was very easy to work with. We used it under our deck to keep bugs from coming on the deck.,0,0,0,0,0,0,0,0,0,0,1,1,"[7801, 6606, 8541, 8432, 2407, 7944, 8776, 8587, 8334, 3996, 8197, 5201, 1918, 7944, 4087, 943, 3097, 1433, 5118, 7801]"
75,75,Can fit different types of chairs,0,0,0,1,0,0,0,0,0,0,0,1,"[1059, 2894, 2126, 8156, 5083, 1179]"
76,76,"I bought 3 of these to use when I was building a barn door for my office. They are awesome. Not the most durable clamps in the world, but if you take care of them, they could last quite a while. I would definitely recommend.",0,0,0,0,0,0,0,0,0,1,0,1,"[3706, 827, 5083, 7828, 7944, 8330, 8655, 3706, 8541, 947, 3, 570, 2269, 3024, 4851, 7831, 376, 4994, 7801, 4801, 2374, 1293, 3773, 7801, 994, 3723, 8870, 7674, 1096, 5083, 7831, 1677, 4193, 5955, 3, 3706, 8813, 1957]"
77,77,"This is brace is sturdy and well made, very pleased",0,0,0,0,0,0,0,0,0,1,0,1,"[7856, 3981, 853, 3981, 7489, 278, 8628, 8432, 5571]"
